Мвидео;
Основная камера МПикс;>=>1Основная камера Мпикс>Модуль камер
Экран;>=>2Диагональ>Разрешение экрана
SIM карта;SIM карта
Беспроводная зарядка;Беспроводная зарядка
Поддержка беспроводной зарядки;Беспроводная зарядка
Блок питания;Блок питания
Бренд;>=>3
Вес;Вес
Время в режиме ожидания;Время в режиме ожидания
Время в режиме разговора;Время в режиме разговора
Вспышка;Вспышка
Встроенная память (ROM);Встроенная память
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г)
Диагональ;Диагональ
Емкость аккумулятора;Емкость аккумулятора
Количество основных камер;Количество основных камер
Количество фронтальных камер;Количество фронтальных камер
Количество ядер;Количество ядер
Максимальная емкость карты памяти;Максимальная емкость карты памяти
Материал корпуса;Материал корпуса
Модель;Модель
Мощность блока питания;Мощность блока питания
Оперативная память (RAM);Оперативная память
Операционная система;Операционная система
Оптическая стабилизация;Оптическая стабилизация
Поддержка eSIM;Поддержка eSIM
Поддержка GPS;Поддержка GPS
Поддержка Wi-Fi;Поддержка Wi-Fi
Поддержка быстрой зарядки;Поддержка быстрой зарядки
Поддержка ГЛОНАСС;Поддержка ГЛОНАСС
Поддержка стандартов;Поддержка стандартов
Порт USB;Порт USB
Процессор;Процессор
Тип процессора;Процессор
Разрешение видеосъемки;Разрешение видеосъемки
Разъем для наушников;Разъем для наушников
Сенсор распознавания лица;Сенсор распознавания лица
Серия;Серия
Сканер отпечатка пальца на боковой грани;Сканер отпечатка пальца на боковой грани
Сканер отпечатка пальца на задней панели;Сканер отпечатка пальца на задней панели
Сканер отпечатка пальца на передней панели;Сканер отпечатка пальца на передней панели
Сканер отпечатка пальца под экраном;Сканер отпечатка пальца под экраном
Страна;Страна
Технология NFC;Технология NFC
Технология экрана;Технология экрана
Тип карты памяти;Тип карты памяти
Фронтальная камера МПикс;Фронтальная камера МПикс
Цвет;Цвет
Цифровая стабилизация;Цифровая стабилизация
Частота обновления;Частота обновления
Яркость;Яркость
Модуль камер;Модуль камер
Разрешение экрана;Разрешение экрана
