Модель;Модель;str
Диагональ/разрешение;>=>2<Диагональ>Разрешение экрана;str
Диагональ;>=>2<Диагональ>Разрешение экрана;str
Экран;>=>2<Диагональ>Разрешение экрана;str
Разрешение по горизонтали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int
Разрешение по вертикали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int
Ширина;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{}*{}*{} мм];str
Высота;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{}*{}*{} мм];str
Глубина;>=>4<Высота>Ширина>Глубина>Габаритные размеры (В*Ш*Г)>[{}*{}*{} мм];str
FM приемник;FM приемник;str
Блок питания;Блок питания;str
Вес;Вес (г);int
Время в режиме ожидания;Время в режиме ожидания (ч);int
Время в режиме разговора;Время в режиме разговора (ч);int
Встроенная вспышка;Вспышка;str
Вспышка;Вспышка;str
Встроенная память (ROM);Встроенная память (Гб);int
Встроенный диктофон;Встроенный диктофон;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Встроенный фонарик;Встроенный фонарик;str
Емкость аккумулятора;Емкость аккумулятора (мАч);int
Зарядное устройство;Зарядное устройство;str
Кабель Micro-USB - USB тип А;Кабель Micro-USB - USB тип А;str
Кабель для связи с ПК;Кабель для связи с ПК;str
Класс водонепроницаемости;Класс водонепроницаемости;str
Кнопка SOS;Кнопка SOS;str
Количество SIM карт;Количество SIM карт;int
SIM карта;Количество SIM карт;int
Количество разъёмов micro USB;Количество разъёмов micro USB;int
Максимальная емкость карты памяти;Максимальная емкость карты памяти (Гб);int
Материал корпуса;Материал корпуса;str
Основная камера 1;Основная камера (МПикс);int
Основная камера;Основная камера (МПикс);int
Поддержка 2G;Поддержка 2G;str
Поддержка 3G;Поддержка 3G;str
Поддержка 4G LTE;Поддержка 4G LTE;str
Поддержка GPS;Поддержка GPS;str
Поддержка Wi-Fi;Поддержка Wi-Fi;str
Поддержка стандартов;Поддержка стандартов;str
Разъем 3.5 мм для подключения гарнитуры;Разъем 3.5 мм для подключения гарнитуры;int
Разъем microSD;Разъем microSD;str
Разъем USB 2.0 тип A;Разъем USB 2.0 тип A;int
Разъем для наушников;Разъем для наушников;str
Режим видеосъемки;Режим видеосъемки;str
Серия;Серия;str
Страна;Страна;str
Технология экрана;Технология экрана;str
Технология дисплея;Технология экрана;str
Тип SIM-карты;Тип SIM-карты;str
Тип дисплея;Тип дисплея;str
Тип корпуса;Тип корпуса;str
Ударопрочный корпус;Ударопрочный корпус;str
Фронтальная камера;Фронтальная камера (МПикс);int
Цвет;Цвет;str
Цвет подсветки дисплея;Цвет подсветки дисплея;str
