"Мвидео		";1213;
Бренд;>=>4;str
Страна;Страна;str
Серия;Серия;str
Мощность фронтальных АС (вт);Мощность фронтальных АС (вт);int
Тип беспроводных колонок;Тип беспроводных колонок;str
Беспроводное воспроизведение музыки;Беспроводное воспроизведение музыки;str
Громкая связь Bluetooth;Громкая связь Bluetooth;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Голосовой помощник;Голосовой помощник;str
Встроенный микрофон;Встроенный микрофон;str
Встроенный модуль Wi-Fi;Встроенный модуль Wi-Fi;str
Питание от сети 220 В;Питание от сети 220 В;str
Материал корпуса;Материал корпуса;str
Брызгозащитный корпус;Брызгозащитный корпус;str
Подсветка корпуса;Подсветка корпуса;str
Блок питания;Блок питания;str
Вес (г);Вес (г);int
Цвет;Цвет;str
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
