Гарантия;Гарантия;str
Страна;Страна;str
Серия;Серия;str
Модель;Модель;str
Тип дисплея;Тип дисплея;str
Технология дисплея;Технология дисплея;str
Сенсорный экран;Сенсорный экран;str
Подсветка дисплея;Подсветка дисплея;str
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str
Водоустойчивый корпус;Водоустойчивый корпус;str
Класс водонепроницаемости;Класс водонепроницаемости;str
Материал ремешка;Материал ремешка;str
Цвет ремешка;Цвет ремешка;str
Измерение пульса;Измерение пульса;str
Шагомер;Шагомер;str
Пройденное расстояние;Пройденное расстояние;str
Отслеживание сна;Отслеживание сна;str
Акселерометр;Акселерометр;str
Ремень на руку;Ремень на руку;str
Зарядное устройство;Зарядное устройство;str
Работа от аккумулятора;Работа от аккумулятора;str
Тип аккумулятора;Тип аккумулятора;str
Емкость аккумулятора;Емкость аккумулятора (мАч);int
Аккумулятор;Аккумулятор;str
Цвет;Цвет;str
Размер;Размер;str
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str
Вес;Вес (г);int
Диагональ/разрешение;>=>2<Диагональ>Разрешение экрана;str
Совместимость;Совместимость;str
Материал корпуса;Материал корпуса;str
Обхват;Обхват;str
Счетчик калорий;Счетчик калорий;str
Уведомления;Уведомления;str
Вибрация;Вибрация;str
Операционная система;Операционная система;str
Зарядка от USB порта;Зарядка от USB порта;str
Измерение артериального давления;Измерение артериального давления;str
