Страна;Страна
Модель;Модель
Тип мыши;Тип мыши
Тип беспроводной мыши;Тип беспроводной мыши
Радиус действия;Радиус действия
Оптическое разрешение;Оптическое разрешение
Интерфейс связи с ПК;Интерфейс связи с ПК
Приемный блок в комплекте;Приемный блок в комплекте
Материал корпуса;Материал корпуса
Работа от батареи;Работа от батареи
Тип используемых батарей;Тип используемых батарей
Цвет;Цвет
Вес;Вес
Серия;Серия
Проводная мышь;Проводная мышь
Максимальное допустимое ускорение (g);Максимальное допустимое ускорение (g)
Количество кнопок (мышь);Количество кнопок (мышь)
Возможность изменения оптического разрешения;Возможность изменения оптического разрешения
Скроллер;Скроллер
Цвет подсветки корпуса;Цвет подсветки корпуса
Программируемые кнопки;Программируемые кнопки
Тип управления;Тип управления
Материал ножек;Материал ножек
Длина кабеля;Длина кабеля
Тканевая оплетка кабеля;Тканевая оплетка кабеля
Максимальная частота опроса USB шины;Максимальная частота опроса USB шины
Покрытие разъемов;Покрытие разъемов
Батареи в комплекте;Батареи в комплекте
Скорость перемещения;Скорость перемещения
Количество  операций;Количество  операций
Время отклика;Время отклика
Количество режимов работы;Количество режимов работы
Индикация режима работы;Индикация режима работы
Встроенная память (ROM);Встроенная память (ROM)
Программное обеспечение;Программное обеспечение
Аккумуляторов;Аккумуляторов
Тип аккумулятора;Тип аккумулятора
Хорошо придумано;Хорошо придумано
Канал передачи данных;Канал передачи данных
Пользователи оценят;Пользователи оценят
Силиконовые вставки;Силиконовые вставки
Подсветка кнопок;Подсветка кнопок
Подсветка кнопок управления;Подсветка кнопок управления
Считываний перемещений курсора;Считываний перемещений курсора
Беспроводная мышь;Беспроводная мышь
Время отклика клавиш;Время отклика клавиш
Подсветка корпуса;Подсветка корпуса
Рабочее расстояние;Рабочее расстояние
Страна;Страна
Серия;Серия
Модель;Модель
Проводная клавиатура;Проводная клавиатура
Тип клавиш;Тип клавиш
Тип переключателей;Тип переключателей
Цвет русской раскладки (ЙЦУКЕН);Цвет русской раскладки (ЙЦУКЕН)
Цвет английской раскладки (QWERTY);Цвет английской раскладки (QWERTY)
Цвет игровых клавиш;Цвет игровых клавиш
Наличие клавиш Windows;Наличие клавиш Windows
Блокировка клавиатуры;Блокировка клавиатуры
Подсветка кнопок;Подсветка кнопок
Количество клавиш;Количество клавиш
Брызгозащитный корпус;Брызгозащитный корпус
Материал корпуса;Материал корпуса
Максимальная частота опроса USB шины;Максимальная частота опроса USB шины
Интерфейс связи с ПК;Интерфейс связи с ПК
Длина кабеля;Длина кабеля
Цвет;Цвет
Высота;Высота
Ширина;Ширина
Глубина;Глубина
Вес (клавиатура);Вес (клавиатура)
Срок службы;Срок службы
Проводная мышь;Проводная мышь
Количество кнопок (мышь);Количество кнопок (мышь)
Дизайн корпуса мыши;Дизайн корпуса мыши
Цвет подсветки;Цвет подсветки
Частотный диапазон (наушники);Частотный диапазон (наушники)
Подсветка клавиш;Подсветка клавиш
Акустический тип;Акустический тип
Встроенный микрофон;Встроенный микрофон
Количество встроенных микрофонов;Количество встроенных микрофонов
Тип подключения наушников;Тип подключения наушников
Интерфейс связи с ПК (клавиатура);Интерфейс связи с ПК (клавиатура)
Штекер 3.5 мм;Штекер 3.5 мм
Программное обеспечение;Программное обеспечение
Длина кабеля USB;Длина кабеля USB
Микрофон;Микрофон
Цвет клавиатуры;Цвет клавиатуры
Габаритные размеры клавиатуры (В*Ш*Г);Габаритные размеры клавиатуры (В*Ш*Г)
Вес;Вес
Тип клавиатуры;Тип клавиатуры
Тип беспроводной клавиатуры;Тип беспроводной клавиатуры
Рабочее расстояние;Рабочее расстояние
Индикация включения;Индикация включения
Тип используемых батарей;Тип используемых батарей
Приемный блок в комплекте;Приемный блок в комплекте
Тип;Тип
Беспроводная клавиатура;Беспроводная клавиатура
Отсек для приемного блока (мышь);Отсек для приемного блока (мышь)
Индикация разрядки батарей (клавиатура);Индикация разрядки батарей (клавиатура)
Тип мыши;Тип мыши
Тип беспроводной мыши;Тип беспроводной мыши
Радиус действия;Радиус действия
Беспроводная мышь;Беспроводная мышь
Скроллер (мышь);Скроллер (мышь)
Оптическое разрешение;Оптическое разрешение
Интерфейс приемного блока;Интерфейс приемного блока
Интерфейс связи с ПК (мышь);Интерфейс связи с ПК (мышь)
Интерфейс подключения;Интерфейс подключения
Работа от батареи (мышь);Работа от батареи (мышь)
Тип используемой батареи (мышь);Тип используемой батареи (мышь)
Тип используемой батареи (клавиатура);Тип используемой батареи (клавиатура)
Вес (мышь);Вес (мышь)
Большая клавиша Enter;Большая клавиша Enter
Подавление фантомных нажатий;Подавление фантомных нажатий
Индикация Caps Lock;Индикация Caps Lock
Индикация  Num Lock;Индикация  Num Lock
Тканевая оплетка кабеля;Тканевая оплетка кабеля
Скроллер;Скроллер
Частотный диапазон (микрофон);Частотный диапазон (микрофон)
Чувствительность;Чувствительность
Диаграмма направленности;Диаграмма направленности
Сопротивление микрофона;Сопротивление микрофона
Регулировка громкости;Регулировка громкости
Материал;Материал
Материал амбушюров;Материал амбушюров
Материал оголовника;Материал оголовника
Подставка для кистей рук;Подставка для кистей рук
Работа от батареи (клавиатура);Работа от батареи (клавиатура)
Батареи в комплекте;Батареи в комплекте
Цвет мыши;Цвет мыши
Габаритные размеры мыши (В*Ш*Г);Габаритные размеры мыши (В*Ш*Г)
Программируемые клавиши (шт);Программируемые клавиши (шт)
Сила нажатия;Сила нажатия
Время отклика;Время отклика
Покрытие разъемов;Покрытие разъемов
Сменные игровые клавиши;Сменные игровые клавиши
Батареи;Батареи
Клавиш MultiMedia;Клавиш MultiMedia
Важная особенность;Важная особенность
Поворотные чашки;Поворотные чашки
Использование в качестве гарнитуры;Использование в качестве гарнитуры
Шумоподавление;Шумоподавление
Количество каналов звука;Количество каналов звука
Чувствительность микрофона;Чувствительность микрофона
Съемный микрофон;Съемный микрофон
Тип подключения;Тип подключения
Дальность (в помещении);Дальность (в помещении)
Кабель USB;Кабель USB
