Страна;Страна;str;Китай
Серия;Серия;str;Intuos Pen&Touch Small
Экран;Экран;str;"7""/600x1024 Пикс"
Технология экрана;Технология экрана;str;IPS
Встроенная память (ROM);Встроенная память (Гб);int;16
Оперативная память (RAM);Оперативная память (RAM);int;1
Производитель процессора;Производитель процессора;str;UNISOC
Тип процессора;Тип процессора;str;MT8765
Частота процессора;Частота процессора;str;4 x 1.3ГГц
Максимальная тактовая частота;Максимальная тактовая частота;str;1.3
Количество ядер;Количество ядер;int;4
Тип карты памяти;Тип карты памяти;str;Micro SD
Максимальная емкость карты памяти;Максимальная емкость карты памяти;int;64
Поддержка Wi-Fi;Поддержка Wi-Fi;str;802.11 b/g/n
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str;4.2
Wi-Fi точка доступа;Wi-Fi точка доступа;str;Да
Поддержка GPS;Поддержка GPS;str;Да
Поддержка USB Host (OTG);Поддержка USB Host (OTG);str;Да
Цифровой компас;Цифровой компас;str;Да
Порт USB-C;Порт USB-C;int;1
Количество основных камер;Количество основных камер;int;1
Основная камера МПикс;Основная камера (МПикс);int;2
Разрешение видеосъемки;Разрешение видеосъемки;str;1920x1080 Пикс (FullHD)
Вспышка;Вспышка;str;Да
Основная камера 1;Основная камера 1;int;2
Фронтальная камера МПикс;Фронтальная камера МПикс;str;0.3
Количество встроенных динамиков;Количество встроенных динамиков;int;2
Встроенный микрофон;Встроенный микрофон;str;Да
Количество встроенных микрофонов;Количество встроенных микрофонов;int;1
Материал корпуса;Материал корпуса;str;пластик
Блок питания;Блок питания;str;Да
Кабель USB;Кабель USB;str;Да
Емкость аккумулятора;Емкость аккумулятора (мАч);int;6500
Цвет;Цвет;str;серебристый
Вес;Вес;int;310
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str;193*113.5*13 мм
SIM карта;SIM карта;int;2
Количество SIM карт;Количество SIM карт;int;2
Nano-SIM;Nano-SIM;str;Да
Поддержка стандартов;Поддержка стандартов;str;3G
Операционная система;Операционная система;str;Android 10 Go
Поддержка WiDi;Поддержка WiDi;str;Да
Технология Wi-Fi Direct;Технология Wi-Fi Direct;str;Да
Акселерометр;Акселерометр;str;Да
Гироскоп;Гироскоп;str;Да
Разъем для наушников/микрофона 3.5мм;Разъем для наушников/микрофона 3.5мм;int;1
Время работы от аккумулятора до;Время работы от аккумулятора до;int;5
Порт microUSB 2.0;Порт microUSB 2.0;int;1
Micro-SIM;Micro-SIM;str;Да
Порт USB 2.0 тип A;Порт USB 2.0 тип A;int;1
Основная камера 2;Основная камера 2;int;6
Частота обновления;Частота обновления;int;120
Количество портов USB 3.0 тип C;Количество портов USB 3.0 тип C;int;1
Технология Miracast;Технология Miracast;str;Да
Количество стилусов;Количество стилусов;int;1
Mini-SIM;Mini-SIM;str;Да
Встроенный FM-тюнер;Встроенный FM-тюнер;str;Да
Объем eMMC;Объем eMMC;int;64
Адаптер Type-C  - 3.5 мм;Адаптер Type-C  - 3.5 мм;str;Да
Количество портов USB 3.1 тип C;Количество портов USB 3.1 тип C;int;1
Беспроводная зарядка;Беспроводная зарядка;str;Да
Поддержка беспроводной зарядки;Поддержка беспроводной зарядки;str;Да
Степень защиты;Степень защиты;str;IP52
Время в режиме разговора;Время в режиме разговора;int;39
Время в режиме ожидания;Время в режиме ожидания;int;260
Технология ANT+;Технология ANT+;str;Да
Сканер отпечатка пальца;Сканер отпечатка пальца;str;Да
Сканер отпечатка пальца на передней панели;Сканер отпечатка пальца на передней панели;str;Да
Обратная беспроводная зарядка;Обратная беспроводная зарядка;str;Да
Технология Wi-Fi Miracast;Технология Wi-Fi Miracast;str;Да
Чехол;Чехол;str;Да
Гибридный слот;Гибридный слот;str;Да
Сканер отпечатка пальца на боковой грани;Сканер отпечатка пальца на боковой грани;str;Да
Клавиатура док-станция;Клавиатура док-станция;str;Да
Разъем micro HDMI;Разъем micro HDMI;int;1
Поддержка DLNA;Поддержка DLNA;str;Да
Интерфейс MHL (HDMI - microUSB);Интерфейс MHL (HDMI - microUSB);str;Да
Модель;Модель;str;CTH-480S-N
Количество сенсорных клавиш;Количество сенсорных клавиш;int;1
Беспроводное перо;Беспроводное перо;str;Да
Тип дисплея;Тип дисплея;str;LCD
Сканер отпечатка пальца под экраном;Сканер отпечатка пальца под экраном;str;Да
Проводная гарнитура;Проводная гарнитура;str;Да
Подставка для пера;Подставка для пера;str;встроенная
