Страна;Страна;str;Россия
Экран;>=>2<Диагональ>Разрешение экрана;str;"43""/1920x1080 Пикс"
Разрешение по вертикали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int;2160
Разрешение по горизонтали;>=>3<Разрешение по горизонтали>Разрешение по вертикали>Разрешение экрана>[{}х{} Пикс];int;3840
LAN разъем (RJ45);LAN разъем (RJ45);int;1
Ultra HD;Ultra HD;str;Да
Аналоговый тюнер PAL/SECAM;Аналоговый тюнер PAL/SECAM;str;Да
Битность матрицы;Битность матрицы;int;10
Версия HDMI;Версия HDMI;str;2.0
Вес;Вес;str;7.15
Воспроизведение с USB;Воспроизведение с USB;str;Да
Встроенный модуль Bluetooth;Встроенный модуль Bluetooth;str;Да
Вход 3.5 мм аудио (количество);Вход 3.5 мм аудио (количество);int;1
Разъем для наушников 3.5 мм;Вход 3.5 мм аудио (количество);int;1
Вход 3.5 мм аудио/видео;Вход 3.5 мм аудио/видео;int;1
Вход 3.5 мм компонент.YPbPr;Вход 3.5 мм компонент.YPbPr;int;1
Вход D-Sub видео;Вход D-Sub видео;int;1
Вход HDMI;Вход HDMI;int;3
Вход RCA аудио;Вход RCA аудио;int;1
Вход RCA аудио/видео;Вход RCA аудио/видео;int;1
Вход RCA видео композитный;Вход RCA видео композитный;int;1
Вход RCA компонентный YPbPr;Вход RCA компонентный YPbPr;int;1
Вход коаксиальный цифровой;Вход коаксиальный цифровой;int;1
Вход оптический (Toslink);Вход оптический (Toslink);int;1
Выход 3.5 мм аудио;Выход 3.5 мм аудио;int;1
Выход 3.5 мм аудио/видео;Выход 3.5 мм аудио/видео;int;1
Выход RCA аудио;Выход RCA аудио;int;1
Выход RCA аудио/видео;Выход RCA аудио/видео;int;1
Выход коаксиальный цифровой;Выход коаксиальный цифровой;int;1
Выход оптический (Toslink);Выход оптический (Toslink);int;1
Габаритные размеры (В*Ш*Г);Габаритные размеры (В*Ш*Г);str;60.2*96.7*21.5 см
Голосовое управление;Голосовое управление;str;Да
Диагональ;Диагональ;int;43
Диагональ экрана;Диагональ (см);str;109.22
Значение интерполяции;Значение интерполяции;int;3100
Количество портов USB 3.0 тип A;Количество портов USB 3.0 тип A;int;1
Мощность низкочастотных АС;Мощность низкочастотных АС;int;10
Мощность фронтальных АС;Мощность фронтальных АС;str;2 x 8 Вт
Операционная система;Операционная система;str;Android 9.0
Поддержка Smart TV;Поддержка Smart TV;str;Да
Поддержка Wi-Fi;Поддержка Wi-Fi;str;Да
Порт USB 2.0 тип A;Порт USB 2.0 тип A;int;2
Потребляемая мощность;Потребляемая мощность;int;90
Разъем SCART;Разъем SCART;int;1
Разъем для модуля DVB CAM;Разъем для модуля DVB CAM;int;1
Разъем под SD/SDHC/SDXC;Разъем под SD/SDHC/SDXC;int;1
Серия;Серия;str;Smart TV BX
Смартфон в качестве пульта ДУ;Смартфон в качестве пульта ДУ;str;Да
Стандарт DVB-C;Стандарт DVB-C;str;Да
Стандарт DVB-C2;Стандарт DVB-C2;str;Да
Стандарт DVB-S;Стандарт DVB-S;str;Да
Стандарт DVB-S2;Стандарт DVB-S2;str;Да
Стандарт DVB-T;Стандарт DVB-T;str;Да
Стандарт DVB-T2;Стандарт DVB-T2;str;Да
Технология HDMI ARC;Технология HDMI ARC;str;Да
Технология HDR;Технология HDR;str;Да
Технология NFC;Технология NFC;str;Да
Технология OLED;Технология OLED;str;Да
Технология QLED;Технология QLED;str;Да
Технология экрана;Технология экрана;str;LED
Тип батарей пульта ДУ;Тип батарей пульта ДУ;str;2 х AAA (LR03)
Тип дистанционного управления;Тип дистанционного управления;str;Bluetooth
Тип крепления к подвесу;Тип крепления к подвесу;str;VESA 200x300
Тип технологии HDR;Тип технологии HDR;str;HDR10+
Цвет;Цвет;str;черный
Цифровое шумоподавление;Цифровое шумоподавление;str;Да
Цифровой тюнер DVB;Цифровой тюнер DVB;str;T/T2/C/C2/S/S2
Частота обновления;Частота обновления;int;60
Ширина подставки;Ширина подставки;str;11.6
